seq,voltage,current,power,time_in_cycle,temperature_measured,soc,cycle_index
134,3.4985,-2.0121,-7.0394,2098.86,32.741,66.13,1
135,3.4958,-2.0146,-7.0427,2127.02,32.739,66.96,1
136,3.4931,-2.0119,-7.0278,2155.16,32.852,67.78,1
137,3.4901,-2.0129,-7.0252,2183.34,32.871,68.61,1
138,3.4874,-2.0124,-7.0182,2211.53,32.961,69.43,1
139,3.4844,-2.0108,-7.0062,2239.59,33.057,70.26,1
140,3.4816,-2.0109,-7.0012,2267.69,33.112,71.09,1
141,3.4787,-2.0118,-6.9985,2295.86,33.228,71.91,1
142,3.4756,-2.0107,-6.9885,2323.92,33.313,72.74,1
143,3.4727,-2.0124,-6.9884,2352.02,33.396,73.57,1
144,3.4695,-2.0115,-6.979,2380.11,33.518,74.39,1
145,3.4664,-2.0101,-6.9679,2408.22,33.537,75.22,1
146,3.4632,-2.0126,-6.9701,2436.33,33.641,76.04,1
147,3.4599,-2.0128,-6.9642,2464.44,33.749,76.87,1
148,3.4565,-2.0095,-6.9457,2492.55,33.9,77.7,1
149,3.4529,-2.0131,-6.9509,2520.66,34.026,78.52,1
150,3.4492,-2.0126,-6.9417,2548.72,34.066,79.35,1
151,3.4454,-2.0138,-6.9383,2576.8,34.092,80.17,1
152,3.4413,-2.014,-6.9308,2604.99,34.189,81.0,1
153,3.437,-2.0121,-6.9156,2633.09,34.293,81.83,1
154,3.4326,-2.0138,-6.9126,2661.2,34.513,82.65,1
155,3.4278,-2.0144,-6.9051,2689.31,34.568,83.48,1
156,3.423,-2.0123,-6.888,2717.36,34.621,84.3,1
157,3.4177,-2.0144,-6.8846,2745.53,34.768,85.13,1
158,3.4118,-2.0123,-6.8657,2773.55,34.951,85.96,1
159,3.4056,-2.0133,-6.8564,2801.64,35.048,86.78,1
160,3.3988,-2.01,-6.8315,2829.83,35.066,87.61,1
161,3.3912,-2.0118,-6.8222,2857.83,35.214,88.43,1
162,3.3824,-2.0108,-6.8015,2886.02,35.282,89.26,1
163,3.3726,-2.0116,-6.7844,2914.09,35.543,90.09,1
164,3.3609,-2.0111,-6.7591,2942.24,35.642,90.91,1
165,3.347,-2.0111,-6.7312,2970.33,35.789,91.74,1
166,3.33,-2.0145,-6.7082,2998.42,35.863,92.57,1
167,3.3091,-2.0134,-6.6625,3026.55,35.965,93.39,1
168,3.2831,-2.0131,-6.6091,3054.62,36.054,94.22,1
169,3.251,-2.0129,-6.5441,3082.78,36.388,95.04,1
170,3.2112,-2.0141,-6.4676,3110.88,36.639,95.87,1
171,3.1616,-2.0123,-6.362,3138.91,36.681,96.7,1
172,3.0984,-2.0125,-6.2355,3167.03,36.933,97.52,1
173,3.0148,-2.0131,-6.069,3195.14,37.263,98.35,1
174,2.8909,-2.0126,-5.8181,3223.27,37.352,99.17,1
175,2.675,-2.0131,-5.3849,3251.39,37.862,100.0,1
176,4.0017,-2.0113,-8.0486,19.61,24.002,5.0,2
177,3.9608,-2.0133,-7.9742,47.67,24.252,5.91,2
178,3.9349,-2.0125,-7.9189,75.75,24.558,6.83,2
179,3.9147,-2.0104,-7.87,103.84,24.862,7.74,2
180,3.898,-2.0124,-7.8444,131.99,25.185,8.65,2
181,3.8837,-2.0121,-7.8143,160.0,25.49,9.57,2
182,3.871,-2.011,-7.7848,188.06,25.798,10.48,2
183,3.8597,-2.0113,-7.763,216.12,26.11,11.39,2
184,3.8489,-2.0124,-7.7456,244.2,26.391,12.31,2
185,3.8392,-2.0138,-7.7315,272.31,26.694,13.22,2
186,3.8304,-2.012,-7.7066,300.49,26.977,14.13,2
187,3.8218,-2.0123,-7.6903,328.56,27.261,15.05,2
188,3.8132,-2.0128,-7.6753,356.58,27.526,15.96,2
189,3.8045,-2.0114,-7.6523,384.72,27.798,16.88,2
190,3.7957,-2.0116,-7.6353,412.84,28.058,17.79,2
191,3.7862,-2.0135,-7.6236,440.97,28.31,18.7,2
192,3.7767,-2.0119,-7.5984,469.11,28.575,19.62,2
193,3.7669,-2.0097,-7.5703,497.2,28.829,20.53,2
194,3.7574,-2.0115,-7.5579,525.3,29.049,21.44,2
195,3.7476,-2.0132,-7.5447,553.39,29.243,22.36,2
196,3.7383,-2.0115,-7.5195,581.52,29.413,23.27,2
197,3.7293,-2.0154,-7.5162,609.58,29.543,24.18,2
198,3.721,-2.0104,-7.4809,637.69,29.619,25.1,2
199,3.7128,-2.0128,-7.4729,665.78,29.678,26.01,2
200,3.7049,-2.0118,-7.4536,693.92,29.706,26.92,2
201,3.6974,-2.0098,-7.4311,722.06,29.725,27.84,2
202,3.6897,-2.0106,-7.4185,750.09,29.748,28.75,2
203,3.6823,-2.0113,-7.4063,778.22,29.763,29.66,2
204,3.675,-2.013,-7.398,806.3,29.786,30.58,2
205,3.6678,-2.0138,-7.386,834.44,29.807,31.49,2
206,3.661,-2.012,-7.366,862.53,29.847,32.4,2
207,3.6539,-2.0104,-7.3456,890.67,29.902,33.32,2
208,3.647,-2.0119,-7.3372,918.72,29.963,34.23,2
209,3.6401,-2.0121,-7.3244,946.83,30.042,35.14,2
210,3.6334,-2.0111,-7.3071,974.97,30.123,36.06,2
211,3.627,-2.0102,-7.2909,1003.03,30.212,36.97,2
212,3.6203,-2.0137,-7.2901,1031.14,30.305,37.88,2
213,3.6141,-2.0122,-7.2724,1059.27,30.414,38.8,2
214,3.608,-2.0126,-7.2613,1087.36,30.518,39.71,2
215,3.602,-2.0114,-7.245,1115.5,30.619,40.62,2
216,3.596,-2.0111,-7.232,1143.62,30.731,41.54,2
217,3.5902,-2.0125,-7.2253,1171.67,30.835,42.45,2
218,3.5845,-2.0129,-7.2151,1199.8,30.946,43.37,2
219,3.579,-2.0095,-7.1919,1227.91,31.056,44.28,2
220,3.5736,-2.0121,-7.1903,1255.97,31.171,45.19,2
221,3.5681,-2.0129,-7.1823,1284.12,31.266,46.11,2
222,3.5628,-2.0135,-7.1737,1312.2,31.371,47.02,2
223,3.5577,-2.0143,-7.1662,1340.28,31.482,47.93,2
224,3.5529,-2.0118,-7.1478,1368.41,31.588,48.85,2
225,3.5478,-2.0127,-7.1407,1396.47,31.694,49.76,2
226,3.543,-2.014,-7.1355,1424.62,31.799,50.67,2
227,3.5388,-2.0126,-7.1223,1452.69,31.895,51.59,2
228,3.534,-2.0131,-7.1141,1480.86,31.99,52.5,2
229,3.5298,-2.0122,-7.1026,1508.94,32.089,53.41,2
230,3.5254,-2.0129,-7.0962,1537.02,32.187,54.33,2
231,3.5214,-2.0119,-7.0847,1565.17,32.289,55.24,2
232,3.5172,-2.0108,-7.0724,1593.23,32.39,56.15,2
233,3.5132,-2.013,-7.0719,1621.31,32.49,57.07,2
234,3.5094,-2.0127,-7.0633,1649.31,32.594,57.98,2
235,3.5054,-2.0136,-7.0586,1677.39,32.684,58.89,2
236,3.5018,-2.0139,-7.0522,1705.47,32.788,59.81,2
237,3.4981,-2.0118,-7.0374,1733.55,32.883,60.72,2
238,3.4945,-2.0115,-7.029,1761.69,32.968,61.63,2
239,3.491,-2.0127,-7.0262,1789.8,33.073,62.55,2
240,3.4873,-2.0122,-7.0171,1817.92,33.175,63.46,2
241,3.4838,-2.0143,-7.0174,1846.02,33.266,64.38,2
242,3.4801,-2.0133,-7.0066,1874.08,33.361,65.29,2
243,3.4766,-2.0122,-6.9956,1902.09,33.469,66.2,2
244,3.4732,-2.0087,-6.9767,1930.19,33.563,67.12,2
245,3.4697,-2.0104,-6.9756,1958.31,33.662,68.03,2
246,3.466,-2.0102,-6.9674,1986.48,33.761,68.94,2
247,3.4625,-2.0119,-6.966,2014.59,33.856,69.86,2
248,3.4587,-2.0124,-6.9602,2042.73,33.97,70.77,2
249,3.4546,-2.0109,-6.9469,2070.8,34.063,71.68,2
250,3.4507,-2.0117,-6.9418,2098.91,34.169,72.6,2
251,3.4468,-2.0128,-6.9378,2127.06,34.278,73.51,2
252,3.4428,-2.0132,-6.9311,2155.12,34.387,74.42,2
253,3.4386,-2.0123,-6.9196,2183.28,34.501,75.34,2
254,3.4345,-2.0127,-6.9126,2211.33,34.598,76.25,2
255,3.4297,-2.0123,-6.9015,2239.45,34.718,77.16,2
256,3.4255,-2.0104,-6.8866,2267.55,34.821,78.08,2
257,3.4205,-2.014,-6.8887,2295.67,34.95,78.99,2
258,3.4155,-2.0117,-6.8709,2323.77,35.063,79.9,2
259,3.4103,-2.012,-6.8616,2351.83,35.18,80.82,2
260,3.4047,-2.0122,-6.8507,2379.86,35.298,81.73,2
261,3.399,-2.0138,-6.8448,2408.08,35.413,82.64,2
262,3.3927,-2.014,-6.833,2436.2,35.548,83.56,2
263,3.3859,-2.0125,-6.8142,2464.28,35.658,84.47,2
264,3.3787,-2.0095,-6.7896,2492.39,35.798,85.38,2
265,3.3703,-2.0148,-6.7904,2520.49,35.925,86.3,2
266,3.3615,-2.0129,-6.7665,2548.61,36.065,87.21,2
267,3.3514,-2.0131,-6.7466,2576.7,36.21,88.12,2
268,3.3396,-2.0101,-6.7129,2604.81,36.352,89.04,2
269,3.3257,-2.0115,-6.6897,2632.94,36.495,89.95,2
270,3.3094,-2.012,-6.6584,2661.03,36.659,90.87,2
271,3.2902,-2.0099,-6.6129,2689.14,36.824,91.78,2
272,3.2674,-2.0129,-6.577,2717.22,36.996,92.69,2
273,3.2401,-2.0124,-6.5205,2745.38,37.168,93.61,2
274,3.2075,-2.0123,-6.4545,2773.45,37.353,94.52,2
275,3.1692,-2.0138,-6.3822,2801.45,37.582,95.43,2
276,3.1226,-2.0106,-6.2782,2829.49,37.797,96.35,2
277,3.0641,-2.0133,-6.1689,2858.08,38.067,97.26,2
278,2.9899,-2.0131,-6.0189,2886.61,38.356,98.17,2
279,2.8895,-2.0142,-5.8202,2915.25,38.672,99.09,2
280,2.7537,-2.0135,-5.5445,2943.75,39.063,100.0,2
281,3.9906,-2.0118,-8.0285,19.53,24.288,5.0,3
282,3.9433,-2.0127,-7.9367,47.69,24.544,6.01,3
283,3.9129,-2.0109,-7.8686,75.73,24.865,7.02,3
284,3.8898,-2.0105,-7.8204,103.83,25.198,8.03,3
285,3.8711,-2.0114,-7.7862,131.88,25.533,9.04,3
286,3.8554,-2.0121,-7.7575,159.94,25.87,10.05,3
287,3.8415,-2.0133,-7.7342,188.14,26.199,11.06,3
288,3.8296,-2.0136,-7.7112,216.23,26.526,12.07,3
289,3.8188,-2.0156,-7.6974,244.33,26.854,13.09,3
290,3.8087,-2.0118,-7.6621,272.42,27.17,14.1,3
291,3.7988,-2.0121,-7.6438,300.48,27.475,15.11,3
292,3.7891,-2.0123,-7.6247,328.62,27.785,16.12,3
293,3.7788,-2.0102,-7.5962,356.75,28.076,17.13,3
294,3.7688,-2.0135,-7.5885,384.83,28.37,18.14,3
295,3.758,-2.0133,-7.5662,412.91,28.653,19.15,3
296,3.7471,-2.0141,-7.5471,441.06,28.915,20.16,3
297,3.7367,-2.0121,-7.5187,469.14,29.166,21.17,3
298,3.7259,-2.0136,-7.5024,497.26,29.382,22.18,3
299,3.7159,-2.0136,-7.4823,525.34,29.57,23.19,3
300,3.7061,-2.0115,-7.4548,553.48,29.713,24.2,3
301,3.6967,-2.0112,-7.4348,581.59,29.822,25.21,3
302,3.6872,-2.0102,-7.4119,609.7,29.912,26.22,3
303,3.6783,-2.0146,-7.4103,637.76,29.974,27.23,3
304,3.6693,-2.0113,-7.3799,665.92,30.018,28.24,3
305,3.6608,-2.014,-7.3727,694.05,30.077,29.26,3
306,3.6524,-2.0155,-7.3614,722.09,30.118,30.27,3
307,3.644,-2.013,-7.3355,750.23,30.169,31.28,3
308,3.6359,-2.0117,-7.3144,778.3,30.232,32.29,3
309,3.6279,-2.0119,-7.299,806.45,30.288,33.3,3
310,3.6201,-2.0129,-7.287,834.53,30.369,34.31,3
311,3.6124,-2.0106,-7.2631,862.64,30.454,35.32,3
312,3.6047,-2.012,-7.2528,890.69,30.553,36.33,3
313,3.5974,-2.0142,-7.2459,918.88,30.665,37.34,3
314,3.5902,-2.0131,-7.2276,946.95,30.77,38.35,3
315,3.583,-2.0133,-7.2136,975.08,30.885,39.36,3
316,3.5762,-2.0143,-7.2037,1003.16,31.014,40.37,3
317,3.5694,-2.0107,-7.1768,1031.3,31.132,41.38,3
318,3.5631,-2.0109,-7.1649,1059.38,31.258,42.39,3
319,3.5565,-2.0127,-7.1584,1087.45,31.394,43.4,3
320,3.5501,-2.0141,-7.1503,1115.61,31.519,44.41,3
321,3.5439,-2.0109,-7.1263,1143.66,31.651,45.43,3
322,3.538,-2.0138,-7.1246,1171.78,31.777,46.44,3
323,3.5322,-2.0145,-7.1157,1199.88,31.905,47.45,3
324,3.5267,-2.0123,-7.0966,1228.02,32.029,48.46,3
325,3.5211,-2.0127,-7.087,1256.08,32.163,49.47,3
326,3.5157,-2.0124,-7.0752,1284.19,32.286,50.48,3
327,3.5103,-2.0137,-7.0689,1312.34,32.403,51.49,3
328,3.5056,-2.0127,-7.0559,1340.44,32.532,52.5,3
329,3.5003,-2.0122,-7.0432,1368.52,32.655,53.51,3
330,3.4956,-2.0114,-7.0311,1396.66,32.781,54.52,3
331,3.4906,-2.0114,-7.0209,1424.73,32.904,55.53,3
332,3.4861,-2.011,-7.0105,1452.91,33.022,56.54,3
333,3.4815,-2.0143,-7.013,1480.95,33.148,57.55,3
334,3.4768,-2.0143,-7.0034,1509.11,33.269,58.56,3
335,3.4723,-2.0129,-6.9893,1537.2,33.394,59.57,3
336,3.468,-2.0057,-6.9557,1565.28,33.507,60.59,3
337,3.4636,-2.0115,-6.9671,1593.55,33.634,61.6,3
338,3.4589,-2.0089,-6.9486,1621.66,33.766,62.61,3
339,3.4546,-2.012,-6.9507,1649.77,33.883,63.62,3
340,3.4502,-2.0123,-6.9429,1677.88,34.003,64.63,3
341,3.4457,-2.0111,-6.9297,1705.94,34.131,65.64,3
342,3.4411,-2.0125,-6.9253,1734.08,34.257,66.65,3
343,3.4365,-2.0104,-6.9088,1762.2,34.375,67.66,3
344,3.4318,-2.0108,-6.9008,1790.27,34.491,68.67,3
345,3.4269,-2.0159,-6.9083,1818.36,34.627,69.68,3
346,3.422,-2.0111,-6.8819,1846.52,34.754,70.69,3
347,3.4171,-2.0152,-6.8861,1874.64,34.887,71.7,3
348,3.412,-2.0117,-6.864,1902.81,35.011,72.71,3
349,3.4067,-2.012,-6.8544,1930.97,35.141,73.72,3
350,3.4014,-2.0137,-6.8496,1959.14,35.274,74.73,3
351,3.3959,-2.0135,-6.8377,1987.2,35.408,75.74,3
352,3.3902,-2.01,-6.8144,2015.33,35.556,76.76,3
353,3.3841,-2.011,-6.8054,2043.45,35.684,77.77,3
354,3.3776,-2.0151,-6.8062,2071.55,35.839,78.78,3
355,3.371,-2.0119,-6.7822,2099.66,35.973,79.79,3
356,3.3639,-2.0113,-6.7658,2127.73,36.118,80.8,3
357,3.3561,-2.0119,-6.7523,2155.83,36.268,81.81,3
358,3.348,-2.0089,-6.7258,2183.92,36.414,82.82,3
359,3.3391,-2.0124,-6.7197,2212.08,36.568,83.83,3
360,3.3293,-2.0144,-6.7066,2240.19,36.726,84.84,3
361,3.3181,-2.0118,-6.6755,2268.28,36.886,85.85,3
362,3.3056,-2.0138,-6.6566,2296.36,37.048,86.86,3
363,3.2907,-2.0134,-6.6254,2324.45,37.208,87.87,3
364,3.2738,-2.0152,-6.5973,2352.58,37.39,88.88,3
365,3.2541,-2.0135,-6.5521,2380.7,37.565,89.89,3
366,3.2311,-2.0135,-6.5058,2408.8,37.741,90.9,3
367,3.2045,-2.0152,-6.4576,2436.89,37.938,91.91,3
368,3.1737,-2.0137,-6.3911,2465.0,38.158,92.93,3
369,3.1379,-2.0106,-6.3092,2493.14,38.384,93.94,3
370,3.096,-2.0121,-6.2295,2521.25,38.624,94.95,3
371,3.0471,-2.0108,-6.127,2549.44,38.876,95.96,3
372,2.9906,-2.0118,-6.0164,2577.61,39.171,96.97,3
373,2.9259,-2.0126,-5.8885,2605.78,39.499,97.98,3
374,2.8393,-2.0113,-5.7108,2634.3,39.884,98.99,3
375,2.6912,-2.0098,-5.4086,2662.83,40.306,100.0,3
376,3.9866,-2.0118,-8.0203,19.64,24.874,5.0,4
377,3.9344,-2.0139,-7.9234,47.72,25.129,6.08,4
378,3.9011,-2.0149,-7.8604,75.81,25.461,7.16,4
379,3.8762,-2.0126,-7.8013,103.91,25.804,8.24,4
380,3.8565,-2.0122,-7.76,131.98,26.166,9.32,4
381,3.8399,-2.0137,-7.7325,160.12,26.501,10.4,4
382,3.8257,-2.011,-7.6936,188.23,26.84,11.48,4
383,3.8132,-2.0125,-7.674,216.31,27.193,12.56,4
384,3.802,-2.012,-7.6497,244.47,27.526,13.64,4
385,3.7912,-2.0135,-7.6337,272.51,27.847,14.72,4
386,3.781,-2.0129,-7.6108,300.69,28.172,15.8,4
387,3.7698,-2.0136,-7.5909,328.75,28.496,16.88,4
388,3.7588,-2.0125,-7.5646,356.89,28.799,17.95,4
389,3.7475,-2.0135,-7.5455,384.95,29.096,19.03,4
390,3.7357,-2.0124,-7.5175,413.08,29.38,20.11,4
391,3.7243,-2.0103,-7.4869,441.12,29.643,21.19,4
392,3.7127,-2.0153,-7.4823,469.25,29.876,22.27,4
393,3.7015,-2.0136,-7.4531,497.34,30.082,23.35,4
394,3.6904,-2.0119,-7.4248,525.48,30.239,24.43,4
395,3.6801,-2.014,-7.412,553.56,30.354,25.51,4
396,3.67,-2.0121,-7.3846,581.7,30.45,26.59,4
397,3.6603,-2.0127,-7.3668,609.86,30.538,27.67,4
398,3.6506,-2.0104,-7.3394,637.91,30.577,28.75,4
399,3.6412,-2.0115,-7.3241,665.95,30.645,29.83,4
400,3.6322,-2.0132,-7.3122,694.12,30.704,30.91,4
401,3.6231,-2.0126,-7.2919,722.23,30.775,31.99,4
402,3.6144,-2.014,-7.2794,750.34,30.836,33.07,4
403,3.6058,-2.0125,-7.2567,778.47,30.922,34.15,4
404,3.5972,-2.0114,-7.2353,806.7,31.031,35.23,4
405,3.5888,-2.0139,-7.2276,834.83,31.132,36.31,4
406,3.5807,-2.0105,-7.1991,862.89,31.258,37.39,4
407,3.5729,-2.0119,-7.1883,891.05,31.388,38.47,4
408,3.5652,-2.0118,-7.1725,919.06,31.516,39.55,4
409,3.5575,-2.0104,-7.152,947.14,31.644,40.62,4
410,3.5503,-2.0119,-7.1429,975.2,31.774,41.7,4
411,3.543,-2.0121,-7.1288,1003.3,31.922,42.78,4
412,3.5362,-2.0122,-7.1156,1031.39,32.076,43.86,4
413,3.5293,-2.014,-7.108,1059.44,32.218,44.94,4
414,3.5226,-2.0112,-7.0846,1087.58,32.367,46.02,4
415,3.5162,-2.0111,-7.0713,1115.75,32.514,47.1,4
416,3.51,-2.011,-7.0586,1143.81,32.647,48.18,4
417,3.5039,-2.0115,-7.0481,1171.94,32.781,49.26,4
